ZOOKEEPER-460,"the build has been failing for the past 6 days, this is very bad – in effect no CI Henry, can you look at this or should I?"
ZOOKEEPER-460,"This test runs fine for me locally, so is the problem a heavily loaded Hudson, causing the connection loss?"
ZOOKEEPER-460,Does that sound right?
ZOOKEEPER-460,however 473 is separate from this issue.
ZOOKEEPER-460,Are you sure you have Clover in the runtime classpath?
ZOOKEEPER-462,"Flavio, what do you want this in?"
ZOOKEEPER-462,3.3 or does it have to go into the fix release as well?
ZOOKEEPER-462,What's the status on this?
ZOOKEEPER-464,A few high-level comments:  Could you summarize the changes of this patch?
ZOOKEEPER-464,That's why your patch got a -1 in release audits; Could you detail the issue with BufferedChannel?
ZOOKEEPER-464,Where is the problem exactly?
ZOOKEEPER-464,Why can't we fix it?
ZOOKEEPER-464,Where should I put the summary of the behavior?
ZOOKEEPER-464,What about documentation of this feature?
ZOOKEEPER-464,Should I put that in comments for this Jira?
ZOOKEEPER-464,Should I upload a text documentation too to describe the feature functionality?
ZOOKEEPER-464,"assertTrue(false); }   with:  assertFalse(f.isFile() && f.getName().equals(""0.log""), ""Found the entry log file (0.log) that should have been deleted in ledgerDirectory: "" + ledgerDirectory);   I believe it is more compact and does the same, doesn't it?"
ZOOKEEPER-464,Could you let me know which files still have the comments preceding new methods?
ZOOKEEPER-464,"With regards to the documentation changes, do you generally modify the xml content document files, use forest to generate the html and pdf files and then check in all 3 changes in the jira attachment?"
ZOOKEEPER-464,Or is it just the xml changes you submit via the jira?
ZOOKEEPER-464,Can I submit another file attachment to this same jira for the documentation changes?
ZOOKEEPER-464,Can you merge the changes there with the code changes in the already submitted patch?
ZOOKEEPER-464,Could you please tell me how you've fixed the issue with the unit test?
ZOOKEEPER-464,Could you please break up the lines?
ZOOKEEPER-465,"Please pardon my ignorance, but your approach works because nobody can append new entries to a ledger after it is closed, right?"
ZOOKEEPER-465,"Also, what will be the semantics of a concurrent reader?"
ZOOKEEPER-465,"For example, if process A is writing to a ledger while at the same time another process B wants to find the length of the ledger, Is this possible?"
ZOOKEEPER-465,> My current idea is to simply have the writer counting the number of bytes written and store it to ZooKeeper Does this mean that every addEntry call to the ledger will result in an additional zk call to update the ledger length?
ZOOKEEPER-465,Any other option I'm missing?
ZOOKEEPER-465,Maybe a brain-dead idea: but can we write the current size of the ledger along with each entry in the ledger?
ZOOKEEPER-465,Is this a big change flavio?
ZOOKEEPER-465,> can we write the current size of the ledger along with each entry in the ledger?
ZOOKEEPER-465,am i understanding it right?
ZOOKEEPER-465,Do you have a use case for multiple clients writing to the same ledger?
ZOOKEEPER-465,Then we are still good with the approach where the client can maintain the current ledger size?
ZOOKEEPER-465,Just a hypothetical question: does Bookkeeper make any assumptions that there is only one writer to a ledger?
ZOOKEEPER-465,"if so, then what happens if a second client starts writing to the same ledger, will it get an error?"
ZOOKEEPER-465,"If it is not too much work for you, can you pl upload this patch in reviewboard, just makes it easier to review?"
ZOOKEEPER-465,"sorry to be a pain flavio, but can i get a couple very minor changes?"
ZOOKEEPER-465,"1) in PendingReadOp can you comment what you substract 8 on the line:  +        entry.length = buffer.getLong(DigestManager.METADATA_LENGTH - 8);   2) in LedgerRecoveryOp can you comment on the line:  +            lh.length = entry.getLength() - (long) data.length;   i think it is because you are going to call add entry on that data, so it will be added back, right?"
ZOOKEEPER-465,"btw, dhruba, is this what you were looking for?"
ZOOKEEPER-465,How does a system know to ignore the data from bookie 5?
ZOOKEEPER-465,Do you have a patch for that?
ZOOKEEPER-465,what do you think?
ZOOKEEPER-465,"I might have to start using trunk because ZOOKEEPER-712 is essential to store hdfs logs in bookkeeper, isn't it?"
ZOOKEEPER-465,Especially to recover from a scenario when the namenode died/killed/crashed before closing the ledger?
ZOOKEEPER-465,has anyone tried applying ZOOKEEPER-712 to 3.3?
ZOOKEEPER-465,Could anyone please review/commit?
ZOOKEEPER-465,"flavio, can you please upload a patch for 3.3 branch?"
ZOOKEEPER-467,I mean to say that this patch does not require tests (why can't we edit comments any longer?
ZOOKEEPER-472,I htought the jira was just about not instantiating hashmap.. no?
ZOOKEEPER-472,Why does PersistentNode and Ephemeral node need to be different?
ZOOKEEPER-472,"They can be the same but with the property that until and unless a addchild is done, the hashset maps to null... wouldnt that be sufficient?"
ZOOKEEPER-472,Even with the above you wont be able to do sorted nodes since the chidlren are still sets... no?
ZOOKEEPER-472,The children member should map to some other datastructure that maintains order.. no?
ZOOKEEPER-472,Is that a miss in the docs or is that what is really being used?
ZOOKEEPER-472,"Hi, what's the status on this JIRA?"
ZOOKEEPER-472,"@ Patrik , well good thing you cannot take me in the ear and sit me down  Might want to change the instructions on http://wiki.apache.org/hadoop/ZooKeeper/HowToContribute though, to not make people confused?"
ZOOKEEPER-472,Perhaps it's against an older version of zk source?
ZOOKEEPER-472,Would you mind creating a patch against the current source HEAD in svn?
ZOOKEEPER-472,Is there something you changed in the licence?
ZOOKEEPER-472,"erik, there are apache header changes in 2 files, any reason for that?"
ZOOKEEPER-472,Is this ready?
ZOOKEEPER-472,"Since I'm not adding any new functionality, the old tests should be enough, or what is the general opinion on this matter?"
ZOOKEEPER-473,what do you think?
ZOOKEEPER-473,"also, another check does @Test tags work with javac 1.5?"
ZOOKEEPER-474,"chris,  any update on this?"
ZOOKEEPER-475,"flavio, can you take a look at it?"
ZOOKEEPER-475,"the nightly build failed again last night, this time due to a failure in HierarchicalQuorumTest Flavio can you take a look?"
ZOOKEEPER-480,do you mind putting a comment into the test to state your strategy for posterity?
ZOOKEEPER-480,can you please update the patch?
ZOOKEEPER-480,"flavio, canm you upload 3.2 patch as well?"
ZOOKEEPER-481,Does this change have any impact on ZOOKEEPER-22?
ZOOKEEPER-481,do you mind putting a comment into the test to state your strategy for posterity?
ZOOKEEPER-481,Can you please try running findbugs and see where the issues are?
ZOOKEEPER-483,"ryan,  can you post (attach as files) server logs in different files for all you zookeeper servers?"
ZOOKEEPER-483,"also, please explain the setup –  I am assuming all the servers are on different machines, and the logs and snapshots go to different disk?"
ZOOKEEPER-483,Are you sure you are using 3.1.1?
ZOOKEEPER-483,"This is interesting, from hbase-hadoop-zookeeper-sv2borg153.log 2009-07-23 12:29:01,661 INFO org.apache.zookeeper.server.quorum.Follower: shutdown called java.lang.Exception: shutdown Follower 	at org.apache.zookeeper.server.quorum.Follower.shutdown(Follower.java:427) 	at org.apache.zookeeper.server.quorum.QuorumPeer.run(QuorumPeer.java:498) I don't see any further quorum messages until ~11 seconds later: 2009-07-23 12:29:12,516 FATAL org.apache.zookeeper.server.SyncRequestProcessor: Severe unrecoverable error, exiting java.net.SocketException: Socket closed 	at java.net.SocketOutputStream.socketWrite(SocketOutputStream.java:99) 	at java.net.SocketOutputStream.write(SocketOutputStream.java:136) 	at java.io.BufferedOutputStream.flushBuffer(BufferedOutputStream.java:65) 	at java.io.BufferedOutputStream.flush(BufferedOutputStream.java:123) 	at org.apache.zookeeper.server.quorum.Follower.writePacket(Follower.java:100) 	at org.apache.zookeeper.server.quorum.SendAckRequestProcessor.flush(SendAckRequestProcessor.java:52) 	at org.apache.zookeeper.server.SyncRequestProcessor.flush(SyncRequestProcessor.java:131) 	at org.apache.zookeeper.server.SyncRequestProcessor.run(SyncRequestProcessor.java:76) 2009-07-23 12:29:12,559 WARN org.apache.zookeeper.server.NIOServerCnxn: Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running SRP should be running/active if the QP is not following the leader?"
ZOOKEEPER-483,Perhaps it's ok in this situation?
ZOOKEEPER-483,You sure we should be eating the exception here?
ZOOKEEPER-483,rather than handling upstream?
ZOOKEEPER-483,Should this be handled by higher level code?
ZOOKEEPER-483,the test added with the patch failed on hudson.. ben can you take a look?
ZOOKEEPER-483,"ben,  should me make the calss positioninputstream a seperate public class under persistence?"
ZOOKEEPER-485,Do you have anything we could use as an example of how to run ZK under SMF?
ZOOKEEPER-492,Is this supposed to happen?
ZOOKEEPER-494,"Users will have to change either there code or makefiles to adapt to this new change, right?"
ZOOKEEPER-494,"right, so then we should wait for 4.0 for this patch ?"
ZOOKEEPER-496,"this is minor, but could you also change the tabs to 4 spaces?"
ZOOKEEPER-496,what will happen in the values are binary?
ZOOKEEPER-498,"flavio, can you include the example in the forrest docs?"
ZOOKEEPER-498,"BTW - Should I succeed in convincing my company to allow me to open  source various components that I've written (on top of zookeeper), what  is the process for that?"
ZOOKEEPER-498,"flavio, can you upload a patch for 3.2 as well?"
ZOOKEEPER-498,"when setting the stop flags, you should really do an interrupt to wake up the wait, but that will cause a message to be printed to stdout."
ZOOKEEPER-499,"this looks good pat, but when you first get the logger, why are you using the package name?"
ZOOKEEPER-499,if you are going to use the package name shouldn't you get the package from the class file?
ZOOKEEPER-499,couldn't that cause a problem potentially?
